Date,Open,High,Low,Close,Adj. Close,Change,Volume
21-Nov-25,216.35,222.21,215.18,220.69,220.69,1.63%,"67,519,230"
20-Nov-25,227.05,227.41,216.74,217.14,217.14,-2.49%,"50,160,683"
19-Nov-25,223.74,223.74,218.52,222.69,222.69,0.06%,"58,335,643"
18-Nov-25,228.1,230.2,222.42,222.55,222.55,-4.43%,"60,608,442"
17-Nov-25,233.25,234.6,229.19,232.87,232.87,-0.78%,"59,919,018"
14-Nov-25,235.06,238.73,232.89,234.69,234.69,-1.22%,"38,956,669"
13-Nov-25,243.05,243.75,236.5,237.58,237.58,-2.71%,"41,401,738"
12-Nov-25,250.24,250.37,243.75,244.2,244.2,-1.97%,"31,190,063"
11-Nov-25,248.41,249.75,247.23,249.1,249.1,0.28%,"23,564,060"
10-Nov-25,248.34,251.75,245.59,248.4,248.4,1.63%,"36,476,514"
7-Nov-25,242.9,244.9,238.49,244.41,244.41,0.56%,"46,374,294"
6-Nov-25,249.16,250.38,242.17,243.04,243.04,-2.86%,"46,004,203"
5-Nov-25,249.03,251,246.16,250.2,250.2,0.35%,"40,610,702"
4-Nov-25,250.38,257.01,248.66,249.32,249.32,-1.84%,"51,546,311"
3-Nov-25,255.36,258.6,252.9,254,254,4.00%,"95,997,816"
31-Oct-25,250.1,250.5,243.98,244.22,244.22,9.58%,"166,340,808"
30-Oct-25,227.06,228.44,222.75,222.86,222.86,-3.23%,"102,252,937"
29-Oct-25,231.67,232.82,227.76,230.3,230.3,0.46%,"52,036,151"
28-Oct-25,228.22,231.49,226.21,229.25,229.25,1.00%,"47,100,026"
27-Oct-25,227.66,228.4,225.54,226.97,226.97,1.23%,"38,266,995"
24-Oct-25,221.97,225.4,221.9,224.21,224.21,1.41%,"38,685,053"
23-Oct-25,219,221.3,218.18,221.09,221.09,1.44%,"31,539,999"
22-Oct-25,219.3,220.01,216.52,217.95,217.95,-1.84%,"44,308,538"
21-Oct-25,218.43,223.32,217.99,222.03,222.03,2.56%,"50,494,565"
20-Oct-25,213.88,216.69,213.59,216.48,216.48,1.61%,"38,882,819"
17-Oct-25,214.56,214.8,211.03,213.04,213.04,-0.67%,"45,986,944"
16-Oct-25,215.67,218.59,212.81,214.47,214.47,-0.51%,"42,414,591"
15-Oct-25,216.62,217.71,212.66,215.57,215.57,-0.38%,"45,909,469"
14-Oct-25,215.56,219.32,212.6,216.39,216.39,-1.67%,"45,665,580"
13-Oct-25,217.7,220.68,217.04,220.07,220.07,1.71%,"37,809,650"
10-Oct-25,226.21,228.25,216,216.37,216.37,-4.99%,"72,367,511"
9-Oct-25,225,228.21,221.75,227.74,227.74,1.12%,"46,412,122"
8-Oct-25,222.92,226.73,221.19,225.22,225.22,1.55%,"46,685,985"
7-Oct-25,220.88,222.89,220.17,221.78,221.78,0.40%,"31,194,678"
6-Oct-25,221,221.73,216.03,220.9,220.9,0.63%,"43,690,876"
3-Oct-25,223.44,224.2,219.34,219.51,219.51,-1.30%,"43,639,033"
2-Oct-25,221.01,222.81,218.95,222.41,222.41,0.81%,"41,258,586"
1-Oct-25,217.36,222.15,216.61,220.63,220.63,0.48%,"43,933,834"
30-Sep-25,222.03,222.24,217.89,219.57,219.57,-1.17%,"48,396,369"
29-Sep-25,220.08,222.6,219.3,222.17,222.17,1.09%,"44,259,177"
26-Sep-25,219.08,221.05,218.02,219.78,219.78,0.75%,"41,650,098"
25-Sep-25,220.06,220.67,216.47,218.15,218.15,-0.94%,"52,226,328"
24-Sep-25,224.15,224.56,219.45,220.21,220.21,-0.23%,"49,509,033"
23-Sep-25,227.83,227.86,220.07,220.71,220.71,-3.04%,"70,956,193"
22-Sep-25,230.56,230.57,227.51,227.63,227.63,-1.66%,"45,914,506"
