Date,Open,High,Low,Close,Adj. Close,Change,Volume
21-Nov-25,296.42,303.92,293.85,299.66,299.66,3.53%,"72,986,914"
20-Nov-25,304.54,306.42,288.67,289.45,289.45,-1.15%,"61,882,334"
19-Nov-25,287.16,303.81,286.63,292.81,292.81,3.00%,"68,198,944"
18-Nov-25,287.92,288.8,278.2,284.28,284.28,-0.26%,"49,158,743"
17-Nov-25,285.78,293.95,283.57,285.02,285.02,3.11%,"52,670,192"
14-Nov-25,271.41,278.56,270.7,276.41,276.41,-0.78%,"31,647,227"
13-Nov-25,282.34,282.84,277.24,278.57,278.57,-2.84%,"29,494,040"
12-Nov-25,291.68,292.01,283.69,286.71,286.71,-1.58%,"24,829,923"
11-Nov-25,287.75,291.92,287.32,291.31,291.31,0.42%,"19,842,136"
10-Nov-25,284.42,290.8,282.86,290.1,290.1,4.04%,"29,557,309"
7-Nov-25,283.21,283.78,275.19,278.83,278.83,-2.08%,"34,479,588"
6-Nov-25,285.33,288.35,281.14,284.75,284.75,0.15%,"37,173,648"
5-Nov-25,278.87,286.42,277.34,284.31,284.31,2.44%,"31,010,302"
4-Nov-25,276.75,281.27,276.26,277.54,277.54,-2.18%,"30,078,369"
3-Nov-25,282.18,285.53,279.8,283.72,283.72,0.90%,"29,785,996"
31-Oct-25,283.21,286,277.03,281.19,281.19,-0.10%,"39,267,945"
30-Oct-25,291.59,291.59,280.06,281.48,281.48,2.52%,"74,875,990"
29-Oct-25,267.75,275.34,267.67,274.57,274.57,2.65%,"43,580,277"
28-Oct-25,269.69,270.73,266.5,267.47,267.47,-0.67%,"29,738,564"
27-Oct-25,264.82,270.14,264.28,269.27,269.27,3.60%,"35,235,231"
24-Oct-25,256.58,261.68,255.32,259.92,259.92,2.70%,"28,655,126"
23-Oct-25,252.98,255.04,251.85,253.08,253.08,0.55%,"19,901,425"
22-Oct-25,254.37,256.36,249.29,251.69,251.69,0.49%,"35,029,370"
21-Oct-25,254.74,254.88,244.15,250.46,250.46,-2.37%,"47,312,098"
20-Oct-25,254.69,257.33,254.23,256.55,256.55,1.28%,"22,350,155"
17-Oct-25,250.76,254.22,247.81,253.3,253.3,0.73%,"29,671,629"
16-Oct-25,251.77,256.96,250.1,251.46,251.46,0.17%,"27,997,159"
15-Oct-25,247.25,252.11,245.99,251.03,251.03,2.27%,"27,007,690"
14-Oct-25,241.23,247.12,240.51,245.45,245.45,0.53%,"22,111,572"
13-Oct-25,240.21,244.5,239.71,244.15,244.15,3.20%,"24,995,028"
10-Oct-25,241.43,244.09,235.84,236.57,236.57,-2.05%,"33,180,323"
9-Oct-25,244.47,244.76,239.15,241.53,241.53,-1.26%,"27,892,086"
8-Oct-25,244.96,246.01,243.82,244.62,244.62,-0.46%,"21,307,104"
7-Oct-25,248.27,250.44,245.52,245.76,245.76,-1.86%,"23,181,285"
6-Oct-25,244.78,251.32,244.58,250.43,250.43,2.07%,"28,894,653"
3-Oct-25,244.49,246.3,241.66,245.35,245.35,-0.14%,"30,249,559"
2-Oct-25,245.15,246.81,242.3,245.69,245.69,0.32%,"25,483,298"
1-Oct-25,240.75,246.3,238.61,244.9,244.9,0.74%,"31,658,234"
30-Sep-25,242.81,243.29,239.25,243.1,243.1,-0.39%,"34,724,346"
29-Sep-25,247.85,251.15,242.77,244.05,244.05,-1.01%,"32,505,777"
26-Sep-25,247.07,249.42,245.97,246.54,246.54,0.31%,"18,503,194"
25-Sep-25,244.4,246.49,240.74,245.79,245.79,-0.55%,"31,020,383"
24-Sep-25,251.66,252.35,246.44,247.14,247.14,-1.80%,"28,201,003"
23-Sep-25,253.04,254.36,250.48,251.66,251.66,-0.34%,"26,628,016"
22-Sep-25,254.43,255.78,250.3,252.53,252.53,-0.86%,"32,290,538"
19-Sep-25,253.25,256,251.81,254.72,254.72,1.07%,"55,571,424"
18-Sep-25,251.68,253.99,249.8,252.03,252.03,1.00%,"31,239,474"
17-Sep-25,251.22,251.6,246.28,249.53,249.53,-0.65%,"34,107,992"
16-Sep-25,252.08,253.04,249.47,251.16,251.16,-0.18%,"34,109,720"
15-Sep-25,244.66,252.41,244.66,251.61,251.61,4.49%,"58,383,796"
12-Sep-25,240.37,242.08,238,240.8,240.8,0.18%,"26,771,610"
