Date,Open,High,Low,Close,Adj. Close,Change,Volume
21-Nov-25,588.5,598.12,581.86,594.25,594.25,0.87%,"20,528,430"
20-Nov-25,603.5,606.72,583.35,589.15,589.15,-0.20%,"20,534,281"
19-Nov-25,593.72,595.33,581.25,590.32,590.32,-1.23%,"24,744,703"
18-Nov-25,591.6,603.66,583.78,597.69,597.69,-0.72%,"25,500,647"
17-Nov-25,609.04,611.69,595.4,602.01,602.01,-1.22%,"16,501,331"
14-Nov-25,601.79,613.68,595.2,609.46,609.46,-0.07%,"20,724,146"
13-Nov-25,613.07,617.65,603,609.89,609.89,0.14%,"20,973,845"
12-Nov-25,628.13,628.99,607.77,609.01,609.01,-2.88%,"24,493,272"
11-Nov-25,628,629.56,619.39,627.08,627.08,-0.74%,"13,302,187"
10-Nov-25,631.09,635,618.11,631.76,631.76,1.62%,"19,245,000"
7-Nov-25,616.49,622.14,601.2,621.71,621.71,0.45%,"29,946,826"
6-Nov-25,635.85,636,618,618.94,618.94,-2.67%,"23,628,750"
5-Nov-25,632.31,642.23,626.54,635.95,635.95,1.38%,"20,219,855"
4-Nov-25,628.04,641.74,626.01,627.32,627.32,-1.63%,"27,356,553"
3-Nov-25,656,659.33,636.18,637.71,637.71,-1.64%,"33,003,599"
31-Oct-25,674.51,674.89,645.57,648.35,648.35,-2.72%,"56,953,169"
30-Oct-25,669.15,680.96,650.17,666.47,666.47,-11.33%,"88,440,094"
29-Oct-25,754.75,759.16,742.51,751.67,751.67,0.03%,"26,818,592"
28-Oct-25,752.63,758.4,745.52,751.44,751.44,0.08%,"12,193,818"
27-Oct-25,749.73,755.75,748.01,750.82,750.82,1.69%,"11,321,080"
24-Oct-25,736.79,741.21,731.15,738.36,738.36,0.59%,"9,151,267"
23-Oct-25,734.7,742.41,733.1,734,734,0.08%,"9,855,974"
22-Oct-25,733.83,740.6,724.03,733.41,733.41,0.02%,"8,734,491"
21-Oct-25,736.02,738.5,728.75,733.27,733.27,0.15%,"7,647,269"
20-Oct-25,721.19,733.77,720.18,732.17,732.17,2.13%,"8,900,204"
17-Oct-25,707.08,718.54,706.12,716.92,716.92,0.68%,"12,232,441"
16-Oct-25,717.55,725.49,703.88,712.07,712.07,-0.76%,"9,017,010"
15-Oct-25,717.06,723.9,709.51,717.55,717.55,1.26%,"10,246,766"
14-Oct-25,707.78,715.55,699.33,708.65,708.65,-0.99%,"8,829,757"
13-Oct-25,713.01,719.94,707.64,715.7,715.7,1.47%,"9,251,796"
10-Oct-25,730.92,735.27,704.51,705.3,705.3,-3.85%,"16,980,091"
9-Oct-25,718.28,733.51,712.44,733.51,733.51,2.18%,"12,717,172"
8-Oct-25,713.45,719.65,707.81,717.84,717.84,0.67%,"10,790,571"
7-Oct-25,717.72,718.5,705.75,713.08,713.08,-0.36%,"12,062,928"
6-Oct-25,705.19,716.88,690.51,715.66,715.66,0.72%,"21,654,738"
3-Oct-25,729.63,731,710.18,710.56,710.56,-2.27%,"16,154,305"
2-Oct-25,722.58,727.77,718.14,727.05,727.05,1.35%,"11,415,271"
1-Oct-25,721.49,721.85,710.2,717.34,717.34,-2.32%,"20,419,633"
30-Sep-25,742.25,742.97,726.3,734.38,734.38,-1.21%,"16,226,750"
29-Sep-25,748.72,750.78,739.15,743.4,743.4,-0.05%,"9,246,768"
26-Sep-25,750,751.93,737.35,743.75,743.75,-0.69%,"9,696,338"
25-Sep-25,753.45,756.77,744.55,748.91,748.91,-1.54%,"10,591,065"
24-Sep-25,757.5,761.11,752.53,760.66,760.66,0.70%,"8,828,227"
23-Sep-25,769.25,770.6,751.07,755.4,755.4,-1.28%,"10,872,592"
22-Sep-25,781.85,785.73,764.47,765.16,765.16,-1.70%,"11,706,946"
19-Sep-25,786.42,790.8,769.19,778.38,777.86,-0.24%,"23,696,824"
18-Sep-25,780.75,788.78,773.36,780.25,779.72,0.58%,"10,954,950"
17-Sep-25,779.99,783.29,766.31,775.72,775.19,-0.42%,"9,400,867"
16-Sep-25,767,781.36,765.1,779,778.47,1.87%,"11,782,482"
15-Sep-25,757.47,774.07,751.99,764.7,764.18,1.21%,"10,533,780"
12-Sep-25,748.73,757.57,743.76,755.59,755.08,0.62%,"8,248,557"
11-Sep-25,754.65,757.1,748.37,750.9,750.39,-0.14%,"7,923,284"
10-Sep-25,765.13,765.7,751,751.98,751.47,-1.79%,"12,478,276"
9-Sep-25,757.49,766.3,753.43,765.7,765.18,1.78%,"10,999,026"
8-Sep-25,756,766.51,752.02,752.3,751.79,-0.02%,"13,087,816"
5-Sep-25,752.62,757.95,745.03,752.45,751.94,0.51%,"9,663,441"
4-Sep-25,748.57,761.16,745.82,748.65,748.15,1.57%,"11,439,078"
3-Sep-25,736,740.25,733.99,737.05,736.55,0.26%,"7,699,332"
2-Sep-25,726.04,736,721.73,735.11,734.61,-0.49%,"9,350,857"
29-Aug-25,745.28,747.14,735.35,738.7,738.2,-1.65%,"9,070,546"
28-Aug-25,744,753.06,740.8,751.11,750.6,0.50%,"7,467,955"
27-Aug-25,752.3,754.15,742.84,747.38,746.88,-0.89%,"8,315,435"
26-Aug-25,750.8,754.87,747.94,754.1,753.59,0.11%,"7,601,800"
25-Aug-25,754.82,758.88,750.13,753.3,752.79,-0.20%,"6,861,158"
22-Aug-25,739.23,756.9,734.39,754.79,754.28,2.12%,"10,612,667"
21-Aug-25,744.71,745.5,733.11,739.1,738.6,-1.15%,"8,876,307"
20-Aug-25,747.57,750.2,731,747.72,747.22,-0.50%,"11,898,190"
19-Aug-25,767.12,767.17,749.36,751.48,750.97,-2.07%,"12,286,690"
18-Aug-25,775.09,775.81,756.56,767.37,766.85,-2.27%,"16,513,737"
15-Aug-25,784.15,796.25,780.82,785.23,784.7,0.40%,"13,375,361"
14-Aug-25,777.88,787.81,772.51,782.13,781.6,0.26%,"8,116,193"
13-Aug-25,791.15,795.46,778.23,780.08,779.55,-1.26%,"8,811,750"
12-Aug-25,773,793.67,772.43,790,789.47,3.15%,"14,579,765"
11-Aug-25,770.08,773.46,764.67,765.87,765.35,-0.45%,"7,611,964"
8-Aug-25,762.75,769.9,758.58,769.3,768.78,0.98%,"7,320,755"
7-Aug-25,773.49,775,759.55,761.83,761.32,-1.32%,"9,019,691"
6-Aug-25,770,773.64,760.46,771.99,771.47,1.12%,"9,733,910"
5-Aug-25,776.45,783.13,763,763.46,762.95,-1.66%,"11,640,294"
4-Aug-25,760,776.85,758.41,776.37,775.85,3.51%,"15,801,727"
1-Aug-25,760.73,766,745.31,750.01,749.5,-3.03%,"19,028,710"
31-Jul-25,775.2,784.75,765.51,773.44,772.92,11.25%,"38,831,098"
30-Jul-25,708.09,708.5,691.2,695.21,694.74,-0.68%,"27,077,286"
29-Jul-25,720,724.47,699.91,700,699.53,-2.46%,"13,267,032"
