Date,Open,High,Low,Close,Adj. Close,Change,Volume
21-Nov-25,181.24,184.56,172.93,178.88,178.88,-0.97%,"346,216,517"
20-Nov-25,195.95,196,179.85,180.64,180.64,-3.15%,"343,504,849"
19-Nov-25,184.79,187.86,182.83,186.52,186.52,2.85%,"247,246,436"
18-Nov-25,183.38,184.8,179.65,181.36,181.36,-2.81%,"213,598,877"
17-Nov-25,185.97,189,184.32,186.6,186.6,-1.88%,"173,628,858"
14-Nov-25,182.86,191.01,180.58,190.17,190.17,1.77%,"186,591,856"
13-Nov-25,191.05,191.44,183.85,186.86,186.86,-3.58%,"207,423,074"
12-Nov-25,195.72,195.89,191.13,193.8,193.8,0.33%,"154,935,263"
11-Nov-25,195.16,195.42,191.3,193.16,193.16,-2.96%,"176,483,327"
10-Nov-25,195.11,199.94,193.79,199.05,199.05,5.79%,"198,897,134"
7-Nov-25,184.9,188.32,178.91,188.15,188.15,0.04%,"264,942,255"
6-Nov-25,196.42,197.62,186.38,188.08,188.08,-3.65%,"223,029,778"
5-Nov-25,198.77,202.92,194.65,195.21,195.21,-1.75%,"171,350,332"
4-Nov-25,203,203.97,197.93,198.69,198.69,-3.96%,"188,919,320"
3-Nov-25,208.08,211.34,205.56,206.88,206.88,2.17%,"180,267,285"
31-Oct-25,206.45,207.97,202.07,202.49,202.49,-0.20%,"179,802,178"
30-Oct-25,205.15,206.16,201.41,202.89,202.89,-2.00%,"178,864,443"
29-Oct-25,207.98,212.19,204.78,207.04,207.04,2.99%,"308,829,564"
28-Oct-25,193.05,203.15,191.91,201.03,201.03,4.98%,"297,986,180"
27-Oct-25,189.99,192,188.43,191.49,191.49,2.81%,"153,452,704"
24-Oct-25,183.84,187.47,183.5,186.26,186.26,2.25%,"131,296,677"
23-Oct-25,180.42,183.03,179.79,182.16,182.16,1.04%,"111,363,718"
22-Oct-25,181.14,183.44,176.76,180.28,180.28,-0.49%,"162,249,552"
21-Oct-25,182.79,182.79,179.8,181.16,181.16,-0.81%,"124,240,168"
